icao_code,iata_code,name,latitude,longitude
DAOO, ORN, ES SENIA,35.624,-0.621
DAOS, N/A, SIDI BEL ABBES,35.172,-0.593
DAOV, MUW, GHRISS,35.208,0.147
DASM, N/A, N/A,0.0,0.0
DATG, INF, N/A,0.0,0.0
DATM, BMW, N/A,0.0,0.0
DAUA, AZR, TOUAT CHEIKH SIDI MOHAMED BELKEBIR,27.837,-0.186
DAUB, BSK, BISKRA,34.793,5.738
DAUE, ELG, EL GOLEA,30.571,2.859
DAUG, GHA, NOUMERATE,32.384,3.794
DAUH, HME, OUED IRARA,31.673,6.14
DAUI, INZ, IN SALAH,27.251,2.512
DAUK, TGR, SIDI MAHDI,33.068,6.089
DAUL, LOO, LAGHOUAT,33.764,2.927
DAUT, TMX, TIMIMOUN,29.237,0.276
DAUU, OGX, OUARGLA,31.917,5.413
DAUZ, IAM, IN AMENAS,28.051,9.643
DBBB, COO, COTONOU CADJEHOUN,6.357,2.384
DBBC, N/A, N/A,0.0,0.0
DBBD, N/A, N/A,0.0,0.0
DBBK, KDC, N/A,0.0,0.0
DBBN, NAE, N/A,0.0,0.0
DBBO, N/A, N/A,0.0,0.0
DBBP, PKO, PARAKOU,9.357,2.609
DBBR, N/A, N/A,0.0,0.0
DBBS, N/A, N/A,0.0,0.0
DFCA, N/A, N/A,0.0,0.0
DFCB, N/A, N/A,0.0,0.0
DFCC, OUG, N/A,0.0,0.0
DFCD, N/A, N/A,0.0,0.0
DFCE, N/A, N/A,0.0,0.0
DFCG, N/A, N/A,0.0,0.0
DFCI, N/A, N/A,0.0,0.0
DFCJ, N/A, N/A,0.0,0.0
DFCK, N/A, N/A,0.0,0.0
DFCL, N/A, N/A,0.0,0.0
DFCM, N/A, N/A,0.0,0.0
DFCO, N/A, N/A,0.0,0.0
DFCP, N/A, N/A,0.0,0.0
DFCR, N/A, N/A,0.0,0.0
DFCS, N/A, N/A,0.0,0.0
DFCT, N/A, N/A,0.0,0.0
DFCU, N/A, N/A,0.0,0.0
DFCY, N/A, N/A,0.0,0.0
DFEA, N/A, N/A,0.0,0.0
DFEB, N/A, N/A,0.0,0.0
DFEC, N/A, N/A,0.0,0.0
DFED, N/A, N/A,0.0,0.0
DFEE, DOR, N/A,0.0,0.0
DFEF, FNG, N/A,0.0,0.0
DFEG, XGG, N/A,0.0,0.0
DFEK, N/A, N/A,0.0,0.0
DFEL, XKA, N/A,0.0,0.0
DFEM, N/A, N/A,0.0,0.0
DFEO, N/A, N/A,0.0,0.0
DFEP, N/A, N/A,0.0,0.0
DFER, N/A, N/A,0.0,0.0
DFES, N/A, N/A,0.0,0.0
DFET, TEG, N/A,0.0,0.0
DFEY, N/A, N/A,0.0,0.0
DFEZ, N/A, N/A,0.0,0.0
DFFD, OUA, OUAGADOUGOU,12.353,-1.512
DFOA, N/A, N/A,0.0,0.0
DFOB, BNR, N/A,0.0,0.0
DFOD, DGU, N/A,0.0,0.0
DFOF, N/A, N/A,0.0,0.0
DFOG, XGA, N/A,0.0,0.0
DFOH, N/A, N/A,0.0,0.0
DFOL, N/A, N/A,0.0,0.0
DFON, XNU, N/A,0.0,0.0
DFOO, BOY, BOBO DIOULASSO,11.16,-4.331
DFOR, N/A, N/A,0.0,0.0
DFOS, N/A, N/A,0.0,0.0
DFOT, N/A, N/A,0.0,0.0
DFOU, N/A, N/A,0.0,0.0
DFOY, N/A, N/A,0.0,0.0
DGAA, ACC, KOTOKA INTERNATIONAL,5.603,-0.168
DGAD, N/A, N/A,0.0,0.0
DGAH, N/A, N/A,0.0,0.0
DGAK, N/A, N/A,0.0,0.0
DGAL, N/A, N/A,0.0,0.0
DGAS, N/A, N/A,0.0,0.0
DGAT, N/A, N/A,0.0,0.0
DGCY, CKY, N/A,0.0,0.0
DGKA, N/A, N/A,0.0,0.0
DGKK, N/A, N/A,0.0,0.0
DGLB, N/A, N/A,0.0,0.0
DGLE, TML, TAMALE,9.563,-0.863
DGLN, N/A, N/A,0.0,0.0
DGLW, N/A, WA,10.082,-2.507
DGLY, N/A, N/A,0.0,0.0
DGSB, N/A, N/A,0.0,0.0
DGSN, NYI, SUNYANI,7.362,-2.329
DGSW, N/A, N/A,0.0,0.0
DGTK, TKD, TAKORADI,4.893,-1.775
DGTX, N/A, N/A,0.0,0.0
DIAD, N/A, N/A,0.0,0.0
DIAE, N/A, N/A,0.0,0.0
DIAO, N/A, N/A,0.0,0.0
DIAP, ABJ, ABIDJAN FELIX HOUPHOUET BOIGNY INTERNATIONAL,5.26,-3.926
DIAU, OGO, N/A,0.0,0.0
DIBC, N/A, N/A,0.0,0.0
DIBI, BXI, N/A,0.0,0.0
DIBK, BYK, BOUAKE,7.739,-5.074
DIBN, BQO, N/A,0.0,0.0
DIBU, BDK, N/A,0.0,0.0
DIDB, N/A, N/A,0.0,0.0
DIDK, DIM, N/A,0.0,0.0
DIDL, DJO, DALOA,6.792,-6.473
DIDV, N/A, N/A,0.0,0.0
DIFK, N/A, N/A,0.0,0.0
DIGA, GGN, N/A,0.0,0.0
DIGL, GGO, N/A,0.0,0.0
DIGN, BBV, N/A,0.0,0.0
DIKO, HGO, KORHOGO,9.387,-5.556
DIMN, MJC, MAN,7.272,-7.587
DIOD, KEO, N/A,0.0,0.0
DIOF, OFI, N/A,0.0,0.0
DIPG, N/A, N/A,0.0,0.0
DISG, SEO, N/A,0.0,0.0
DISP, SPY, SAN PEDRO,4.747,-6.661
DISS, ZSS, N/A,0.0,0.0
DITB, TXU, N/A,0.0,0.0
DITM, TOZ, N/A,0.0,0.0
DIYO, ASK, YAMOUSSOUKRO,6.903,-5.366
DNAA, ABV, ABUJA NNAMDI AZIKIWE INTERNATIONAL,9.007,7.263
DNAK, AKR, AKURE,7.247,5.301
DNBE, BNI, BENIN,6.317,5.599
DNBI, N/A, N/A,0.0,0.0
DNCA, CBQ, CALABAR,4.976,8.347
DNEN, ENU, ENUGU,6.474,7.562
DNGU, QUS, GUSAU,12.172,6.696
DNIB, IBA, IBADAN,7.362,3.978
DNIL, ILR, ILORIN,8.44,4.494
DNJO, JOS, JOS,9.64,8.869
DNKA, KAD, KADUNA,10.696,7.32
DNKN, KAN, KANO MALLAM AMINU INTERNATIONAL,12.047,8.524
DNMA, MIU, MAIDUGURI,11.855,13.081
DNMK, MDI, MAKURDI,7.704,8.614
DNMM, LOS, LAGOS MURTALA MUHAMMED,6.577,3.321
DNMN, MXJ, MINNA NEW,9.652,6.462
DNOS, N/A, N/A,0.0,0.0
DNPO, PHC, PORT HARCOURT INTERNATIONAL,5.015,6.949
DNSO, SKO, SADIQ ABUBAKAR III INTERNATIONAL,12.916,5.207
DNYO, YOL, YOLA,9.26,12.43
DNZA, ZAR, ZARIA,11.13,7.686
DRRA, N/A, N/A,0.0,0.0
DRRC, N/A, N/A,0.0,0.0
DRRD, N/A, N/A,0.0,0.0
DRRE, N/A, N/A,0.0,0.0
DRRG, N/A, N/A,0.0,0.0
DRRI, N/A, N/A,0.0,0.0
DRRL, N/A, N/A,0.0,0.0
DRRM, MFG, MARADI,13.502,7.127
DRRN, NIM, DIORI HAMANI,13.481,2.184
DRRP, N/A, N/A,0.0,0.0
DRRT, THZ, TAHOUA,14.876,5.265
DRRU, N/A, N/A,0.0,0.0
DRZA, AJY, MANU DAYAK,16.965,7.997
DRZD, N/A, DIRKOU,18.969,12.869
DRZF, N/A, DIFFA,13.373,12.627
DRZG, N/A, N/A,0.0,0.0
DRZI, N/A, N/A,0.0,0.0
DRZL, N/A, N/A,0.0,0.0
DRZM, N/A, N/A,0.0,0.0
DRZN, N/A, N/A,0.0,0.0
DRZR, ZND, ZINDER,13.779,8.984
DRZT, N/A, TANOUT,14.999,8.767
DSGI, KMS, N/A,0.0,0.0
DTMB, MIR, HABIB BOURGUIBA INTERNATIONAL,35.758,10.755
DTTA, TUN, CARTHAGE,36.851,10.227
DTTB, N/A, SIDI AHMED AIR BASE,37.245,9.791
DTTD, N/A, REMADA,32.306,10.382
DTTF, GAF, GAFSA,34.422,8.822
DTTG, GAE, GABES,33.877,10.103
DTTI, N/A, BORDJ EL AMRI,36.721,9.943
DTTJ, DJE, ZARZIS,33.875,10.775
DTTK, N/A, N/A,0.0,0.0
DTTL, N/A, N/A,0.0,0.0
DTTN, N/A, N/A,0.0,0.0
DTTR, EBM, EL BORMA,31.704,9.254
DTTX, SFA, THYNA,34.718,10.691
DTTZ, TOE, NEFTA,33.94,8.111
DXAK, N/A, N/A,0.0,0.0
DXBS, N/A, N/A,0.0,0.0
DXDP, N/A, N/A,0.0,0.0
DXHO, N/A, N/A,0.0,0.0
DXKP, N/A, N/A,0.0,0.0
DXMG, N/A, N/A,0.0,0.0
DXNG, LRL, NIAMTOUGOU,9.767,1.091
DXSK, N/A, N/A,0.0,0.0
DXTA, N/A, N/A,0.0,0.0
DXXX, LFW, LOME TOKOIN,6.166,1.254
EBAM, N/A, N/A,0.0,0.0
EBAW, ANR, DEURNE,51.19,4.463
EBBE, N/A, BEAUVECHAIN,50.759,4.768
EBBL, N/A, KLEINE BROGEL,51.168,5.471
EBBR, BRU, BRUSSELS NATL,50.902,4.499
